True
device: cuda
{'lr': 0.01, 'batch_size': 256}
NAS_DeepSEA(
  (Conv1): Conv1d(4, 320, kernel_size=(8,), stride=(1,), padding=(4,))
  (Conv2): Conv1d(320, 480, kernel_size=(8,), stride=(1,), padding=(4,))
  (Conv3): Conv1d(480, 960, kernel_size=(8,), stride=(1,), padding=(4,))
  (Maxpool): MaxPool1d(kernel_size=4, stride=4, padding=0, dilation=1, ceil_mode=False)
  (Drop1): Dropout(p=0.2, inplace=False)
  (Drop2): Dropout(p=0.5, inplace=False)
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (Linear1): Linear(in_features=60480, out_features=925, bias=True)
  (Linear2): Linear(in_features=925, out_features=36, bias=True)
)

------- Start Training --------
[train full 0 0.010000 ] time elapsed: 27.4235 	train loss: 0.8596 	val loss: 0.8339 	val score: 0.3996 	best val score: 0.3996
[train full 1 0.010000 ] time elapsed: 29.1037 	train loss: 0.8357 	val loss: 0.8231 	val score: 0.3731 	best val score: 0.3731
[train full 2 0.010000 ] time elapsed: 27.2989 	train loss: 0.8293 	val loss: 0.8169 	val score: 0.3637 	best val score: 0.3637
[train full 3 0.010000 ] time elapsed: 28.3732 	train loss: 0.8258 	val loss: 0.8287 	val score: 0.3608 	best val score: 0.3608
[train full 4 0.010000 ] time elapsed: 27.3846 	train loss: 0.8224 	val loss: 0.8127 	val score: 0.3575 	best val score: 0.3575
[train full 5 0.010000 ] time elapsed: 27.4155 	train loss: 0.8221 	val loss: 0.8240 	val score: 0.3566 	best val score: 0.3566
[train full 6 0.010000 ] time elapsed: 29.2095 	train loss: 0.8197 	val loss: 0.8158 	val score: 0.3547 	best val score: 0.3547
[train full 7 0.010000 ] time elapsed: 27.3643 	train loss: 0.8173 	val loss: 0.8124 	val score: 0.3528 	best val score: 0.3528
[train full 8 0.010000 ] time elapsed: 27.6171 	train loss: 0.8158 	val loss: 0.8050 	val score: 0.3509 	best val score: 0.3509
[train full 9 0.010000 ] time elapsed: 28.2419 	train loss: 0.8152 	val loss: 0.8129 	val score: 0.3498 	best val score: 0.3498
[train full 10 0.010000 ] time elapsed: 27.6271 	train loss: 0.8146 	val loss: 0.8041 	val score: 0.3484 	best val score: 0.3484
[train full 11 0.010000 ] time elapsed: 28.8407 	train loss: 0.8127 	val loss: 0.8086 	val score: 0.3475 	best val score: 0.3475
